id,playtime_forever
0,0.436
1,0.0789
2,1.69
3,0.0897
4,1.58
5,0.0808
6,7.97
7,0.0075
8,1.08
9,2.87
10,0.0358
11,0.148
12,3.86
13,0.507
14,8.79
15,0.478
16,0.407
17,0.21
18,0.265
19,0.514
20,0.267
21,2.1
22,0.558
23,0.45
24,0.059
25,2.36
26,0.0644
27,1.65
28,0.593
29,0.774
30,0.519
31,66.4
32,0.326
33,0.339
34,2.11
35,0.273
36,1.01
37,2.69
38,2.74
39,0.325
40,0.656
41,0.266
42,2.51
43,0.0499
44,0.31
45,1.21
46,0.337
47,0.908
48,0.955
49,1.33
50,0.6
51,0.29
52,0.575
53,0.308
54,1.79
55,0.331
56,2.26
57,0.383
58,0.162
59,0.0551
60,3.61
61,3.18
62,0.784
63,5.79
64,0.0357
65,1.21
66,0.317
67,0.53
68,1.47
69,1.74
70,0.0893
71,22.5
72,0.611
73,26.6
74,0.886
75,41.3
76,3.06
77,0.619
78,2.08
79,0.675
80,0.827
81,1.18
82,0.0945
83,6.6
84,3.01
85,0.406
86,0.168
87,3.16
88,0.709
89,6.52
